drugname,a,b,ROR
POTASSIUM CHLORATE,23,6,45.562872752666934
ARTHROTEC,44,19,28.766492386184456
MEPERIDINE HYDROCHLORIDE,28,15,23.173534092844736
FENOTEROL\IPRATROPIUM,22,13,21.003765999955647
CORTISONE (HYDROCORTISONE),42,31,17.00686932203759
CETIRIZINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,54,43,15.79469710009615
MEGLUMINE,39,34,14.4313508319492
SULFATHALIDINE,21,20,13.216755291097584
CORTISONE ACETATE,992,996,12.68871313859612
CEFACLOR,27,27,12.602852494117789
SULFATHIAZOLE,29,30,12.189904038989274
GOLD,79,87,11.457139329485766
SULFATRIM,54,64,10.652022855963576
LEVOMILNACIPRAN,39,47,10.481587177768686
PLAQUENIL,382,473,10.220294895782294
OSELTAMIVIR PHOSPHATE,30,38,9.984334876606368
ASCORBIC ACID\PEG-3350\POTASSIUM CHLORIDE\SODIUM (ASCORBATE/CHLORIDE/SULFATE),22,28,9.949009069404772
VITAMIN K1,22,28,9.949009069404772
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,707,907,9.898490202080293
FOSAMAX,745,969,9.767073507345343
PHOSPHORUS,25,33,9.592928735141587
DIETARY SUPPLEMENT\HERBALS,130,176,9.328547048085143
ARAVA,894,1224,9.293304046829286
CELEBREX,469,668,8.893323916558662
DESOXIMETASONE,1748,2532,8.864956177523583
CAFFEINE\CHLORPHENIRAMINE\PHENYLPROPANOLAMINE,23,33,8.840328288338092
CALCIUM CHLORIDE,39,56,8.811877695640641
CHLORHEXIDINE GLUCONATE\ISOPROPYL ALCOHOL,122,175,8.805732920599791
DISTIGMINE BROMIDE,23,34,8.584078649027157
CETRIMIDE,44,65,8.563692117424111
NITROFURAZONE,40,60,8.437679956911582
NORFLOXACIN,46,69,8.433722840411084
HYDROXYCHLOROQUINE SULFATE,1210,1838,8.403775450856532
TOPICORT,170,257,8.357416440281613
FLUMETHASONE,73,112,8.237775881511606
XANTOFYL PALMITATE,24,37,8.233485791473877
LEFLUNOMIDE,1803,2836,8.166987961127187
TRICLOSAN,24,38,8.019621319799745
SULFASALAZINE,3220,5254,7.994364585559482
MIANSERIN HYDROCHLORIDE,22,35,7.9871789662365895
NEOMYCIN,58,92,7.972945302760693
ZOLGENSMA,32,51,7.953554284605515
CORTISONE,395,643,7.775845130380255
PHTHALYLSULFATHIAZOLE,1225,2029,7.707219531047611
TOFACITINIB CITRATE,333,552,7.631749631625141
ARANESP,131,218,7.592945188783755
POLYETHYLENE GLYCOL 4000,31,52,7.561895947883208
FLUMETHASONE PIVALATE,394,660,7.5563398646999005
LANTHANUM CARBONATE,53,89,7.5354704509439925
SIRUKUMAB,73,123,7.503967617216434
FINACEA,42,71,7.492249158835163
TYROTHRICIN,36,61,7.480312028773753
SULFAMETHOXAZOLE,196,337,7.350504828882922
VASOPRESSIN,44,77,7.237617709881356
ERELZI,1016,1795,7.2090895966905295
PSEUDOEPHEDRINE,207,363,7.207574608052534
HYDROCORTISONE PROBUTATE,51,90,7.173437963226263
CALCITRIOL,60,107,7.095055872183435
APREMILAST,318,581,6.9235540927731485
ALENDRONATE SODIUM\CHOLECALCIFEROL,79,145,6.889648635958776
DEXTROMETHORPHAN HYDROBROMIDE,20,37,6.888909882285109
FOLIC ACID,2419,4541,6.884328640326128
ERENUMAB,57,105,6.870832498010783
THYMOL,35,65,6.830965575688182
ALENDRONIC ACID,585,1123,6.6055206404223705
SODIUM FERRIC GLUCONATE COMPLEX,32,63,6.450446102460083
TOFACITINIB,226,451,6.335038586860174
PSEUDOEPHEDRINE HYDROCHLORIDE,479,958,6.333711248847864
CHLORHEXIDINE GLUCONATE,254,508,6.322070786023499
ATOMOXETINE HYDROCHLORIDE,133,266,6.3199044566283495
CIMZIA,1220,2469,6.305096760546545
DICLOFENAC SODIUM,1129,2293,6.276813302962645
GOLD SODIUM THIOMALATE,182,367,6.268270200838139
POLYETHYLENE GLYCOLS,87,176,6.251516985687131
ABATACEPT,64,130,6.231169244883473
ALENDRONATE SODIUM,611,1257,6.164861480176875
DICLOFENAC DIETHYLAMINE,252,517,6.163100693399724
HYDROXYCHLOROQUINE,1263,2621,6.151119258646997
ISOPROPYL ALCOHOL,211,436,6.117756730628677
CALCIUM ASCORBATE,85,177,6.074057484307709
CALCIUM GLUBIONATE,187,390,6.060928279479483
HYDROCORTISONE BUTYRATE,73,153,6.037220272237928
CETIRIZINE HYDROCHLORIDE,1400,3012,5.940906069221765
DICLOFENAC POTASSIUM,425,908,5.9261425529117435
